name,longitude,latitude
Kg Dato Ibrahim Majid @Simpang Rengam,103.3069,1.764592
Tesco Kulai,103.5759,1.668191
Verve Suites,101.6464,3.167373
Madrasatul Islamiah (surau jumaat),101.736,3.106476
Villa Wangsamas,101.7361,3.194736
Residensi Vogue 1 KL Eco City,101.6733,3.116919
Wisma Bumi Raya,101.6942,3.158264
Pasar Borong Kuala Lumpur,101.6693,3.236279
Mutiara Damansara Zone C,101.6045,3.158801
Casa Indah 1 Condominium,101.5895,3.149392
Klinik HM,101.6359,3.128249
Riviera III Condominiums,101.7518,3.116991
Venice Hill Condominium & Golf Resort,101.7744,3.080441
Kampung Sementa,101.3872,3.090799
Kampung Rantau Panjang,101.4081,3.056769
Kenwingston Square Garden,101.6396,2.911042
Savanna Executive Suites @ Southville City,101.7645,2.901984
Bank Simpanan Nasional @ Puchong,101.6216,3.04742
Market Bentong,101.9075,3.523104
